id;weave_title;max_ar;ideal_ar;min_ar;date_uploaded;last_edited;tutorial_articles;other_articles;tags
1;Trizantine;;5.2;;May 3, 2008, 6:36 pm;June 22, 2017, 11:45 am;Trizantine (CGI);;European||Chain||Progression||Alpha
10;European 12 in 2;;8.0;6.9;February 8, 2008, 1:08 am;July 25, 2013, 12:18 am;;;European||Sheet||Kinged||Modification
100;Persian 4 in 1 Sheet;;5.4;;February 22, 2005, 11:47 pm;April 21, 2019, 3:02 pm;Persian 4 in 1 Sheet (Flip Method)||Persian 4 in 1 Sheet (Eye Method)||Half Persian 2 Sheet 4 in 1 Tutorial;Understanding the Persian Family [Persian,Connections,Weave Theory,Theory]||Half Persian 2 Sheet 4 in 1 AR Comparison [Persian,Weave Theory];Persian||Sheet||Variant
1000;Capricorn;;5.0|4.1;;May 12, 2010, 6:49 pm;February 23, 2015, 11:04 pm;;;European||Chain||Variant||Rhino
1001;Daisy May;;3.5|4.0|5.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;May 18, 2010, 4:32 pm;December 3, 2018, 1:58 am;;;European||Japanese||Band||Modification||Helm
1002;One Night at Denny's;;;4.0;May 26, 2010, 5:09 pm;August 3, 2011, 4:10 pm;;;European||Chain||Progression||Modification
1003;Hades;;6.0|5.0;;May 13, 2010, 4:32 pm;February 23, 2015, 11:04 pm;;;European||Chain||Berus||Variant
1004;Hades Sheet;;6.0|5.0;;May 13, 2010, 4:33 pm;February 23, 2015, 11:04 pm;;;European||Sheet||Berus||Variant
1005;Persephone;;4.4;4.25;May 14, 2010, 5:09 pm;February 23, 2015, 11:05 pm;Persephone;;European||Chain||Variant||Helm||Rhino
1006;Not Tao 5;;4.0|4.0|5.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;May 25, 2010, 4:57 pm;October 15, 2019, 2:30 am;Not Tao 5;Reinforced Weaves [European,Persian,Weave Theory];Japanese||Unit||Progression||Modification||Helm
1007;Not Tao Maelstrom;;5.2|5.9|3.9|4.9|3.9;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;May 25, 2010, 4:57 pm;August 4, 2011, 9:56 pm;;;Japanese||Unit||Variant||Helm
1008;Not Tao Maelstrom Twisted;;;;May 25, 2010, 4:58 pm;August 4, 2011, 9:57 pm;;;Japanese||Unit||Variant||Helm
1009;Not Tao 6;;8.0|4.4|3.3;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;May 26, 2010, 4:32 pm;November 14, 2018, 11:28 pm;Not Tao 6;Reinforced Weaves [European,Persian,Weave Theory];Japanese||Unit||Progression||Modification||Helm
101;Half Persian 3 Sheet 4 in 1;;5.5;;April 13, 2004, 10:07 pm;August 1, 2011, 8:06 pm;;;Persian||Sheet||Variant
1010;Orbiter;;5.5;5.0;July 17, 2010, 12:27 pm;October 11, 2019, 12:01 pm;;;European||Chain||Variant||Rhino
1011;Rover;;5.5;5.0;July 17, 2010, 12:32 pm;October 11, 2019, 12:15 pm;;;European||Chain||Variant||Rhino
1012;Fox;;5.5;5;July 17, 2010, 12:34 pm;July 29, 2011, 5:53 pm;;;European||Chain||Variant||Rhino
1013;NT3 (Not Tao 3) Web;;3.9|4.4|4.9;;July 26, 2010, 1:11 am;November 14, 2018, 11:29 pm;;Reinforced Weaves [European,Persian,Weave Theory];European||Japanese||Sheet||Web||Radial||Variant||Helm
1014;NT3 (Not Tao 3) Dodecahedron;;4.2|4.8|5.2;;July 26, 2010, 1:21 am;August 5, 2019, 11:55 pm;;;European||Japanese||3D||Variant||Helm
1015;2 in 1 Captive Parallel;;5.0|4.5;;July 28, 2010, 1:45 am;October 3, 2018, 2:36 am;;;European||Japanese||Chain||Variant
1016;Not Tao Brigid's cross;;;;July 29, 2010, 12:41 pm;August 4, 2011, 9:56 pm;;;Japanese||Unit||Variant||Helm
1017;Not Tao Cynosure;;;;July 29, 2010, 12:45 pm;August 2, 2011, 7:55 pm;;;Japanese||Unit||Variant||Helm
1018;Bipolar Beestings;;5.0|5.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;July 17, 2010, 9:25 pm;January 6, 2013, 10:55 pm;;;European||Chain||Variant||Helm
1019;Trybzantine;;5.1;;July 17, 2010, 9:33 pm;August 3, 2011, 5:21 pm;;;European||Chain||Modification
102;Half Persian 3 Sheet 5 in 1;;5.1;;March 6, 2005, 3:38 am;November 27, 2018, 12:54 am;Half Persian 3 Sheet 5-in-1||Half Persian 3 Sheet 5 in 1 (from CGMaille) (Ex-CGMaille Tutorial)||How to Join Half Persian 3-1 Sheet 5 to Make Square/Trianglemaille;;European||Persian||Sheet||Variant
1020;Bastardized Trybzantine Bias;;4|4.1|5.2;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;July 28, 2010, 1:43 am;July 21, 2011, 4:21 pm;;;European||Chain||Biased||Modification
1021;2 in 1 ByzCaptive;;2.6|3.3;;July 28, 2010, 2:10 am;October 26, 2018, 5:40 pm;;;European||Chain||Variant
1022;Hex;;5.8;;July 30, 2010, 5:18 pm;February 23, 2015, 11:05 pm;;;European||Chain||Variant||Rhino
1023;That One Extended;;;;August 1, 2010, 7:58 pm;August 5, 2011, 5:34 pm;;;European||Persian||Chain||Variant||Helm
1024;Persian Sweet Pea;;4.6;;August 1, 2010, 7:59 pm;August 1, 2011, 9:29 pm;;;European||Persian||Chain||Variant||Helm
1025;Candy Cane Cord;;4.7;4.1;August 2, 2010, 5:48 pm;May 18, 2019, 5:33 pm;Candy Cane Cord;;European||Chain||Variant
1026;Half Persian 6 in 1 Unbalanced (4:2);;9.3;;August 4, 2010, 8:03 pm;November 14, 2018, 3:09 am;Half Persian 6 in 1 Unbalanced (4:2);"Half Persian Weaves: Balanced; Unbalanced; and Sheet Progressions [Construction,Miscellaneous,Persian,Connections,Weave Theory]";Persian||Chain||Unbalanced||Variant
1027;;;;;;;;;
1028;Snaketail;;4.3|5.5|4.6|3.8;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;August 12, 2010, 6:18 pm;January 6, 2013, 11:08 pm;;;European||Japanese||Sheet||Inverted||Variant
